site,name,price,url,sizes,availability,description
reformation,Patagonia Fisherman's Rolled Beanie,£ 38,https://www.thereformation.com/products/patagonia-fishermans-rolled-beanie/1303235MDD.html?dwvar_1303235MDD_color=MDD,OS Join the waitlist,in_stock,"Only available in the US. In case of going outdoors. The Fisherman's rolled beanie has stretchy ribbed fabric throughout so it fits just right without being too snug. It's made from 100% recycled, itch-free yarn which just means it's super warm and comfortable."
reformation,Patagonia Fisherman's Rolled Beanie,£ 38,https://www.thereformation.com/products/patagonia-fishermans-rolled-beanie/1303235MDD.html?dwvar_1303235MDD_color=CTB,OS Join the waitlist,in_stock,"In case of going outdoors. The Fisherman's rolled beanie has stretchy ribbed fabric throughout so it fits just right without being too snug. It's made from 100% recycled, itch-free yarn which just means it's super warm and comfortable."
reformation,Patagonia Fisherman's Rolled Beanie,£ 38,https://www.thereformation.com/products/patagonia-fishermans-rolled-beanie/1303235CTB.html?dwvar_1303235CTB_color=CTB,OS Join the waitlist,in_stock,"In case of going outdoors. The Fisherman's rolled beanie has stretchy ribbed fabric throughout so it fits just right without being too snug. It's made from 100% recycled, itch-free yarn which just means it's super warm and comfortable."
reformation,Patagonia Fisherman's Rolled Beanie,£ 38,https://www.thereformation.com/products/patagonia-fishermans-rolled-beanie/1303235CTB.html?dwvar_1303235CTB_color=MDD,OS Join the waitlist,in_stock,"Only available in the US. In case of going outdoors. The Fisherman's rolled beanie has stretchy ribbed fabric throughout so it fits just right without being too snug. It's made from 100% recycled, itch-free yarn which just means it's super warm and comfortable."
reformation,Patagonia Brodeo Beanie,£ 55,https://www.thereformation.com/products/patagonia-brodeo-beanie/1301253BLK.html?dwvar_1301253BLK_color=BLK,OS Low stock Join the waitlist,in_stock,Only available in the US. Pair your Ref with Patagonia. This beanie is made from warm 100% recycled wool and nylon blend so it's extra warm and snug. It has ribbing throughout that is super stretchy.
reformation,Patagonia Snowdrifter Beanie,£ 48,https://www.thereformation.com/products/patagonia-snowdrifter-beanie/1319314ORP.html?dwvar_1319314ORP_color=ORP,OS Join the waitlist,in_stock,In case of going outdoors. The Patagonia Snowdrifter Beanie is made from a recycled yarn. One part of a repeatable winter uniform.
reformation,Gift card,£ 58,https://www.thereformation.com/products/GIFT_CARD.html,Help,,© 2026 Reformation
nobodyschild,Digital Gift Card,,https://www.nobodyschild.com/products/digital-gift-card,"2 Reviews, SORT BY",in_stock,"Not sure what to choose? Our digital gift card is the perfect option. Delivered straight to their inbox, it lets them shop their favourite pieces whenever they like — for birthdays, thank yous or just because. Available in values from £10 to £200 Delivered to the recipient’s inbox for immediate gifting Redeemable online only Expires after one year, giving them plenty of time to choose what they love Edits after purchasing will not be possible, so please double check the recipient's details For further information, please see the FAQs."
nobodyschild,Black Floral Frill Sleeve Martha Midi Dress,,https://www.nobodyschild.com/products/black-floral-frill-sleeve-martha-midi-dress-d253346blk,"1 Review, SORT BY, 4, 6, 8, 10, 12, 14, 16, 18, Choose size, Prev, Next",in_stock,"Feeling floral. Black with white blooms and hints of green, this easy midi dress has a v-neck, fluttery sleeves and flows with ease. Day to night, she’s your dress."
nobodyschild,Pink Frill Sleeve Layla Midi Dress,,https://www.nobodyschild.com/products/pink-frill-sleeve-layla-midi-dress-d253350pnk,"22 Reviews, SORT BY, 4, 6, 8, 10, 12, 14, 16, 18, Choose size, Prev, Next",in_stock,This deep pink midi dress features a V-neckline and short ruffle sleeves. Underbust seams shape before falling to a relaxed silhouette.
