site,name,price,url,sizes,availability,description
nobodyschild,Digital Gift Card,10.00,https://www.nobodyschild.com/products/digital-gift-card,,in_stock,"Not sure what to choose? Our digital gift card is the perfect option. Delivered straight to their inbox, it lets them shop their favourite pieces whenever they like — for birthdays, thank yous or just because. Available in values from £10 to £200 Delivered to the recipient’s inbox for immediate gifting Redeemable online only Expires after one year, giving them plenty of time to choose what they love Edits after purchasing will not be possible, so please double check the recipient's details For further information, please see the FAQs."
nobodyschild,Black Floral Frill Sleeve Martha Midi Dress,69.00,https://www.nobodyschild.com/products/black-floral-frill-sleeve-martha-midi-dress-d253346blk,"4, 6, 8, 10, 12, 14, 16, 18",in_stock,"Feeling floral. Black with white blooms and hints of green, this easy midi dress has a v-neck, fluttery sleeves and flows with ease. Day to night, she’s your dress."
nobodyschild,Pink Frill Sleeve Layla Midi Dress,85.00,https://www.nobodyschild.com/products/pink-frill-sleeve-layla-midi-dress-d253350pnk,"4, 6, 8, 10, 12, 14, 16, 18",in_stock,This deep pink midi dress features a V-neckline and short ruffle sleeves. Underbust seams shape before falling to a relaxed silhouette.
nobodyschild,White Floral Starlight Midi Dress,85.00,https://www.nobodyschild.com/products/white-floral-starlight-midi-dress-d253352wht,"4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24",in_stock,"Our iconic style: Starlight. Coming in white with NC florals, this puff sleeve midi dress features button front detailing that falls to a flowy, A-line shape. She's even got pockets."
nobodyschild,Cream Ditsy Floral Saffy Midi Dress,53.00,https://www.nobodyschild.com/products/cream-ditsy-floral-saffy-midi-dress-d253354crm,"4, 6, 8, 10, 12, 14, 16, 18, PETITE, REGULAR",in_stock,"A pretty dress with all the trimmings. Elevated with lace, pleats, and covered buttons, this cream midi dress pulls you in with its feminine, floral print. Its panelled waist falls into a floaty skirt with a front slit."
nobodyschild,Abstract Floral Bandeau Felicity Midi Dress,99.00,https://www.nobodyschild.com/products/abstract-floral-bandeau-felicity-midi-dress-d250633mlt,"4, 6, 8, 10, 12, 14, 16, 18, PETITE, REGULAR",in_stock,"Meet Felicity, the midi that flatters everyone. Coming in a vintage-inspired print, this bandeau dress features a pleated bodice that flares out into a full skirt with pockets."
nobodyschild,Green Polka Dot Adrian Midi Dress,33.00,https://www.nobodyschild.com/products/green-polka-dot-adrian-midi-dress-d251957grn,"4, 6, 8, 10, 12, 14, 16, 18",in_stock,"Totally obsessed. Coming in a green polka dot print, our Adrian dress is designed with thick straps and sweet shoulder tie fastenings. Style yours with sandals, everywhere you go."
nobodyschild,Black Colorado Midi Dress,69.00,https://www.nobodyschild.com/products/black-colorado-midi-dress-d251087blk,"4, 6, 8, 10, 12, 14, 16, 18",in_stock,"The everyday dress: Colorado. Made from contrasting fabrics, our black midi dress features a soft, fitted top and flows to a light, airy skirt. We love the bra-friendly straps and side pockets."
nobodyschild,Black Short Sleeve A-line Sarah Midi Dress,45.00,https://www.nobodyschild.com/products/black-short-sleeve-a-line-sarah-midi-dress-d251010blu,"4, 6, 8, 10, 12, 14, 16, 18",in_stock,"Coming in classic black, we love the crew neck that’s balanced by an open scoop back. Plus the close fitting top that falls into a relaxed swishy skirt is a winner for every occasion."
nobodyschild,Red Bandeau Felicity Midi Dress,89.00,https://www.nobodyschild.com/products/red-bandeau-felicity-midi-dress-d250468red,"4, 6, 8, 10, 12, 14, 16, 18, REGULAR, PETITE",in_stock,"Meet Felicity, the midi that flatters everyone. Coming in red, this bandeau dress features a pleated bodice that flares out into a full skirt with pockets."
whitefoxboutique,E-GIFT CARD,,https://www.whitefoxboutique.com/products/gift-card,,in_stock,
whitefoxboutique,Safa Slippers Latte,$49.99 USD,https://www.whitefoxboutique.com/products/safa-slippers-latte,,in_stock,
whitefoxboutique,Gino Mules Chocolate Faux Suede,$69.99 USD,https://www.whitefoxboutique.com/products/gino-mules-chocolate-faux-suede,,in_stock,
whitefoxboutique,Grayson Slippers Chestnut,$69.99 USD,https://www.whitefoxboutique.com/products/grayson-slippers-chestnut,,in_stock,
whitefoxboutique,In My Moment Knee High Boots Chocolate Faux Suede,$84.99 USD,https://www.whitefoxboutique.com/products/in-my-moment-knee-high-boots-chocolate-faux-suede,,in_stock,
whitefoxboutique,Bubbles & Foxy Friends,$29.99 USD,https://www.whitefoxboutique.com/products/bubbles-foxy-friends,,in_stock,
whitefoxboutique,Sunshine Serenade Mini Dress Red,$74.99 USD,https://www.whitefoxboutique.com/products/sunshine-serenade-mini-dress-red,,in_stock,
whitefoxboutique,Iconic Duo Knit Cami Top Navy/Cream Gingham,$44.99 USD,https://www.whitefoxboutique.com/products/iconic-duo-knit-cami-top-navy-cream-gingham,,in_stock,
whitefoxboutique,Vol. 1 Cropped Zip Front Hoodie Posy,$59.99 USD,https://www.whitefoxboutique.com/products/vol-1-cropped-zip-front-hoodie-posy,,in_stock,
whitefoxboutique,Nobody's Watching Long Sleeve Top Black,$54.99 USD,https://www.whitefoxboutique.com/products/nobodys-watching-long-sleeve-top-black,,in_stock,
whitefoxboutique,Love You Forever Baby Tee Pink,$39.99 USD,https://www.whitefoxboutique.com/products/love-you-forever-baby-tee-pink,,in_stock,
whitefoxboutique,Bueno Beaded Top Chocolate,$59.99 USD,https://www.whitefoxboutique.com/products/bueno-beaded-top-chocolate,,in_stock,
whitefoxboutique,Let It Go Strapless Bustier Midnight Leopard,$59.99 USD,https://www.whitefoxboutique.com/products/let-it-go-strapless-bustier-midnight-leopard,,in_stock,
whitefoxboutique,Brat Girl Summer Tank White,$49.99 USD,https://www.whitefoxboutique.com/products/brat-girl-summer-tank-white,,in_stock,
whitefoxboutique,With Love Always Oversized Hoodie Baby Pink,$69.99 USD,https://www.whitefoxboutique.com/products/with-love-always-oversized-hoodie-baby-pink,,in_stock,
whitefoxboutique,Bring The Style Low Rise Wide Leg Jeans Dark Indigo,$79.99 USD,https://www.whitefoxboutique.com/products/bring-the-style-low-rise-wide-leg-jeans-dark-indigo,,in_stock,
whitefoxboutique,Disco Ball Embellished Mini Dress Wine,$99.99 USD,https://www.whitefoxboutique.com/products/disco-ball-embellished-mini-dress-wine,,in_stock,
whitefoxboutique,Roll Call Ribbed Long Sleeve Top Grey Marle,$49.99 USD,https://www.whitefoxboutique.com/products/roll-call-ribbed-long-sleeve-top-grey-marle,,in_stock,
whitefoxboutique,Vanilla Sugar Hair & Body Mist,$14.99 USD,https://whitefoxboutique.com/products/hair-body-mist,,in_stock,
whitefoxboutique,Vol 1. Tote Bag Set,$79.99 USD,https://whitefoxboutique.com/products/vol-1-tote-bag,,in_stock,
whitefoxboutique,Scrub + Smooth Set,$29.99 USD,https://whitefoxboutique.com/products/scrub-smooth,,in_stock,
boody,Men's Everyday Boxer Briefs,$25.95 USD,https://www.boody.com/products/mens-everyday-boxer-briefs-ash,,in_stock,Comfortable elastic waistband that won't dig or slip. Double-layered pouch for gentle yet secure support. Lightweight design that won't ride up. Form fitting with plenty of room to stretch. Minimal silhouette for unrestricted comfort. Please note that this product has recently undergone a name change and was formerly known as the Men's Everyday Boxers.
boody,Sport Ankle Socks,$12.95 USD,https://www.boody.com/products/sport-ankle-socks-black,,in_stock,Introducing Boody's Sport Ankle Bamboo Socks in Black for Men & Women. Made comfy with Viscose fibre made from organically grown Bamboo. Arch compression for added support. No irritating toe seam for ultimate comfort. Breathable mesh panel wicks away moisture. Ankle tab keeps the sock up and creates a barrier against rubbing shoes. Comfortable yet tighter fit to reduce friction at your pressure points. Reinforced toe and heel for durability and longevity. Please note that our socks have recently undergone a name change. This is to better reflect their fit.
organicbasics,Virtual Gift Card,€25,https://www.organicbasics.com/products/virtual-gift-card,,in_stock,
organicbasics,Core Rib Mock Neck Long Sleeve Dress,€35,https://www.organicbasics.com/products/core-rib-mock-neck-long-sleeve-dress-thyme?_pos=1&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",in_stock,
organicbasics,Core Icon Panel Dress,€49,https://www.organicbasics.com/products/womens-core-icon-panel-dress-black?_pos=2&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Core Rib Mock Neck Long Sleeve Dress,€35,https://www.organicbasics.com/products/core-rib-mock-neck-long-sleeve-dress-silver-mist?_pos=3&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",in_stock,
organicbasics,Flex Mini Dress,€27,https://www.organicbasics.com/products/womens-organic-cotton-flex-mini-dress-black?_pos=4&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",in_stock,
organicbasics,Soft Knit Rib Mock Neck Dress,€40,https://www.organicbasics.com/products/soft-knit-rib-mock-neck-dress-matcha-green?_pos=5&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",in_stock,
organicbasics,Core Rib Mock Neck Long Sleeve Dress,€35,https://www.organicbasics.com/products/core-rib-mock-neck-long-sleeve-dress-golden-clay?_pos=6&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",in_stock,
organicbasics,Soft Knit Rib Mock Neck Dress,€40,https://www.organicbasics.com/products/soft-knit-rib-mock-neck-dress-black?_pos=7&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",out_of_stock,
organicbasics,Core Icon Panel Dress,€49,https://www.organicbasics.com/products/womens-core-icon-panel-dress-eclipse?_pos=8&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Flex Mini Dress,€27,https://www.organicbasics.com/products/womens-organic-cotton-flex-mini-dress-rose-wood?_pos=9&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",in_stock,
organicbasics,Soft Knit Rib Mock Neck Dress,€40,https://www.organicbasics.com/products/soft-knit-rib-mock-neck-dress-silver-mist?_pos=10&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",out_of_stock,
organicbasics,Flex Mini Dress,€27,https://www.organicbasics.com/products/womens-organic-cotton-flex-mini-dress-seaweed?_pos=11&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",in_stock,
organicbasics,Soft Knit Rib Mock Neck Dress,€40,https://www.organicbasics.com/products/soft-knit-rib-mock-neck-dress-tangerine?_pos=12&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",out_of_stock,
organicbasics,Flex Mini Dress,€27,https://www.organicbasics.com/products/womens-organic-cotton-flex-mini-dress-lime?_pos=13&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",in_stock,
organicbasics,Core Straight Leg Pants,€70,https://www.organicbasics.com/products/womens-core-straight-leg-pants-black?_pos=14&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Core Flare Pants,€79,https://www.organicbasics.com/products/womens-core-flare-pants-black?_pos=15&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Core Straight Leg Pants,€70,https://www.organicbasics.com/products/womens-core-straight-leg-pants-seaweed?_pos=16&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Core Flare Pants,€79,https://www.organicbasics.com/products/womens-core-flare-pants-olive?_pos=17&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Core Straight Leg Pants,€56,https://www.organicbasics.com/products/womens-core-straight-leg-pants-azure-blue?_pos=18&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Core Flare Pants,€79,https://www.organicbasics.com/products/womens-core-flare-pants-midnight-blue?_pos=19&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Core Straight Leg Pants,€70,https://www.organicbasics.com/products/womens-core-straight-leg-pants-olive?_pos=20&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Core Icon Bustier Top,€42,https://www.organicbasics.com/products/womens-core-icon-bustier-top-clay?_pos=21&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL",in_stock,
organicbasics,Core Straight Leg Pants,€70,https://www.organicbasics.com/products/womens-core-straight-leg-pants-midnight-blue?_pos=22&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Core Capri Leggings,"€44,80",https://www.organicbasics.com/products/womens-core-capri-leggings?_pos=23&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL, XXL, XXXL",in_stock,
organicbasics,Soft Knit Rib Mini Skirt,€29,https://www.organicbasics.com/products/soft-knit-rib-mini-skirt-sandstone?_pos=24&_sid=c5d14f50a&_ss=r,"XXS, XS, S, M, L, XL",in_stock,
princesspolly,Cleona Plunge Neck Bodysuit Black Polka,GBP £42.00 Plus Vat at Checkout QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/cleona-plunge-neck-bodysuit-black-polka,"UK4, US0, UK6, US2, UK8, US4, UK10, US6, UK12, US8, UK14, US10, UK16, US12",in_stock,"Bodysuit in polka-dot print with plunge neckline Mesh fabric, cowl, press button at base, cheeky bottoms, tie halter straps, low back Good stretch, fully lined Princess Polly Lower Impact Main: 95% reclaimed polyester 5% elastane, Lining: 95% polyester 5% elastane Cold gentle machine wash"
princesspolly,Reminisce Strapless Hardware Detail Top Black Sparkle,USD $45.00,https://us.princesspolly.com/products/reminisce-strapless-hardware-detail-top-black-sparkle,"US0, US2, US4, US6, US8, US10, US12",in_stock,"Knit top with hardware detail & strapless neckline Sparkle detail, silicon strip, gold-tone hardware, ruched, crop Good stretch, fully lined Princess Polly Lower Impact Main: 93% reclaimed polyester 7% elastane, Lining: 100% polyester Cold hand wash"
princesspolly,Pivot Active Zip Through Jacket Black,USD $75.00 0 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/pivot-active-zip-through-jacket-black,"US0, US2, US4, US6, US8, US10, US12",in_stock,"Active jacket with zip-through & long sleeves High neckline, twin front pockets, slim-fit Good stretch, unlined Princess Polly Lower Impact 87% reclaimed polyamide 13% elastane Cold gentle machine wash"
